hostname,ip_addr,port,device_type,new_name=
det02-console,35.128.63.150,22,linux,dtt2-console
dfw13-Console,4.30.79.222,22,linux,dfw13-console
dtt3-console,12.156.215.238,22,linux,dtt3-console
hou01-console,12.189.5.102,22,linux,hou1-console
hou02-console,12.189.115.235,22,linux,hou2-console
hou03-Console,4.59.126.246,22,linux,hou3-console
hou04-Console,12.222.127.102,22,linux,hou4-console
kc01-console,63.76.71.70,22,linux,mci1-console
la07-console,12.186.238.12,22,linux,lax7-console
la10-console,65.214.166.19,22,linux,lax10-console
la11-console,65.208.133.67,22,linux,lax11-console
la12-console,12.37.157.30,22,linux,lax12-console
la14-console,4.34.57.102,22,linux,lax14-console
la15-console,128.92.226.62,22,linux,lax15-console
la16-console,32.141.233.134,22,linux,lax16-console
la18-console,12.87.171.22,22,linux,lax18-console
la19-console,12.23.12.102,22,linux,lax19-console
la20-console,4.71.110.198,22,linux,lax20-console
la21-Console,12.203.174.142,22,linux,lax21-console
la22-Console,98.152.214.110,22,linux,lax22-console
la24-Console,4.14.46.238,22,linux,lax24-console
la25a-console,12.26.106.38,22,linux,lax25a-console
la25b-console,12.219.251.78,22,linux,lax25b-console
la28-Console,4.71.104.166,22,linux,lax28-console
la29-Console,4.71.110.190,22,linux,lax29-console
la30-Console,12.13.24.190,22,linux,lax30-console
la31-console,198.44.219.38,22,linux,lax31-console
la34-Console,98.153.119.150,22,linux,lax34-console
la35-Console,12.25.244.166,22,linux,lax35-console
la36-Console,4.71.104.254,22,linux,lax36-console
la38-Console,98.153.237.214,22,linux,lax38-console
las01-Console,4.71.178.197,22,linux,las1-console
las02-Console,4.35.39.238,22,linux,las2-console
lax17-console,4.71.37.230,22,linux,lax17-console
lax26-Console,67.224.101.174,22,linux,lax26-console
lax32-Console,32.141.157.150,22,linux,lax32-console
lax40-Console,12.26.243.190,22,linux,lax40-console
lax43-Console,205.129.1.134,22,linux,lax43-console
lax45-console,12.18.31.46,22,linux,lax45-console
lax49-console,4.71.105.126,22,linux,lax49-console
lax6-console,65.218.251.238,22,linux,lax6-console
mci2-console,38.140.137.78,22,linux,mci2-console
mia02-console,12.26.94.67,22,linux,mia2-console
mia06-console,65.212.115.3,22,linux,mia6-console
mia07-Console,8.19.236.246,22,linux,mia7-console
mia08-Console,12.208.23.158,22,linux,mia8-console
mia09-console,12.233.133.62,22,linux,mia9-console
mia12-console,38.32.116.78,22,linux,mia12-console
msp01-console,4.79.160.110,22,linux,msp1-console
msp02-Console,64.124.183.62,22,linux,msp2-console
msp03-console,4.14.214.118,22,linux,msp3-console
mtl01-console,38.104.226.206,22,linux,ymq1-console
mtl02-console,64.124.72.190,22,linux,ymq2-console
MTL03-console,96.45.200.5,22,linux,ymq3-console
nsh02-Console,12.87.211.46,22,linux,bna2-console
nsh03-console,4.16.118.179,22,linux,bna3-console
ny07-console,50.74.47.86,22,linux,nyc7-console
ny08-console,63.118.185.110,22,linux,nyc8-console
NY10-Console,63.116.49.156,22,linux,nyc10-console
ny100-Console,108.176.5.54,22,linux,nyc100-console
ny102-Console,104.129.84.62,22,linux,nyc102-console
ny103-console,4.16.130.206,22,linux,nyc103-console
ny109-Console,63.117.182.14,22,linux,nyc109-console
NY111-console,38.104.68.22,22,linux,nyc111-console
ny115-console,144.121.119.102,22,linux,nyc115-console
ny116-Console,38.32.26.110,22,linux,nyc116-console
NY117-console,144.121.75.78,22,linux,nyc117-console
ny12-console,38.140.2.246,22,linux,nyc12-console
ny14-console,24.103.71.174,22,linux,nyc14-console
ny18-console,24.105.153.110,22,linux,nyc18-console
ny19-console,4.71.227.238,22,linux,nyc19-console
NY21-Console,172.254.0.62,22,linux,nyc21-console
ny24-console,65.246.174.99,22,linux,nyc24-console
ny30-Console,63.115.34.6,22,linux,nyc30-console
ny32-console,65.223.172.107,22,linux,nyc32-console
ny33-console,144.121.92.164,22,linux,nyc33-console
ny34-console,65.213.65.222,22,linux,nyc34-console
ny35-console,65.209.105.198,22,linux,nyc35-console
ny36-Console,38.88.5.173,22,linux,nyc36-console
ny37-Console,24.103.85.174,22,linux,nyc37-console
ny38-Console,65.223.155.206,22,linux,nyc38-console
ny42-Console,63.118.15.54,22,linux,nyc42-console
ny44-console,65.219.205.126,22,linux,nyc44-console
ny45-Console,66.37.36.30,22,linux,nyc45-console
ny47-console,69.164.135.246,22,linux,nyc47-console
ny48-Console,38.30.48.142,22,linux,nyc48-console
ny49-console,65.215.8.118,22,linux,nyc49-console
ny50-console,148.76.113.174,22,linux,nyc50-console
ny55-console,144.121.233.30,22,linux,nyc55-console
ny57-Console,108.30.36.134,22,linux,nyc57-console
ny58-console,50.74.123.14,22,linux,nyc58-console
ny60-Console,4.71.146.6,22,linux,nyc60-console
ny61-console,24.103.42.38,22,linux,nyc61-console
ny62-Console,64.124.198.166,22,linux,nyc62-console
NY63-console,64.72.69.134,22,linux,nyc63-console
ny64-console,144.121.227.174,22,linux,nyc64-console
