atl01-console,65.210.152.86,atl1-console
atl03-console,38.122.19.150,atl3-console
atl04-Console,38.104.183.126,atl4-console
atl07-console,12.217.109.222,atl7-console
ATL10-console,50.230.27.230,atl10-console
atl11-console,50.229.33.174,atl11-console
atl12-console,50.231.44.190,atl12-console
atl13-console,50.203.44.46,atl13-console
atl5-console,12.139.182.14,atl5-console
atl8-console,4.4.126.46,atl8-console
aus01-console,64.183.178.67,aus1-console
aus02-console,63.99.22.123,aus2-console
aus04-console,71.42.201.3,aus4-console
aus06-Console,12.36.164.14,aus6-console
aus09-Console,192.154.178.38,aus9-console
aus10-console,4.35.200.14,aus10-console
aus5-console,4.7.148.246,aus5-console
bdu01-Console,4.31.11.198,den12-console
bkn01-console,69.164.134.246,nyc5-console
bkn02-console,65.200.165.214,nyc29-console
bkn05-console,65.246.172.38,nyc69-console
bna4-console,12.233.61.142,bna4-console
bos04-console,38.122.252.43,bos4-console
bos06-Console,50.227.210.158,bos6-console
bos07-Console,65.204.38.230,bos7-console
bos08-Console,38.142.177.222,bos8-console
bos09-Console,162.220.45.174,bos9-console
bos11-Console,50.202.229.110,bos11-console
bos12-console,50.232.154.22,bos12-console
bos13-console,4.14.177.142,bos13-console
BOS18-console,38.142.72.46,bos18-console
BOS22-console,38.140.59.222,bos22-console
bos25-Console,38.142.82.94,bos25-console
bos28-console,38.88.208.206,bos28-console
chi01-console,12.28.0.68,chi1-console
chi03-console,12.177.209.206,chi3-console
CHI04-Console,12.179.54.86,chi4-console
chi13-console,38.32.140.126,chi13-console
chi14-console,12.239.174.102,chi14-console
chi16-Console,12.116.108.70,chi16-console
clt01-Console,4.7.60.54,clt1-console
clt03-console,4.7.62.190,clt3-console
clt04-console,12.222.59.166,clt4-console
cmh1-console,12.235.14.230,cmh1-console
dal01-console,12.239.212.19,dwf1-console
dal03-console,38.142.37.99,dwf3-console
dal05-console,12.15.229.67,dwf5-console
dal06-Console,12.87.190.14,dwf6-console
dal07-Console,12.12.219.198,dwf7-console
dal08-Console,64.124.122.230,dwf8-console
dal10-Console,4.1.140.94,dwf10-console
dal11-Console,38.140.239.102,dwf11-console
dal12-Console,66.64.40.46,dwf12-console
